,IDs,Primary Emotion,Emotion Class,N_words,V_words,V_lemma,syl,word_long,word_long_pr,ASW,ACW,lemma_long,lemma_long_pr,TTR_word,TTR_lemma,YuleK_word,YuleI_word,YuleK_lemma,YuleI_lemma
0,0107635181_00__00-channel-0-number-004_18310,С,1,6,6,6,11,0,0.0,1.8333333333333333,4.5,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1,0107635181_00__00-channel-0-number-005_22100,С,1,11,10,10,22,2,0.2,2.2,4.9,1,0.1,0.9090909090909091,0.9090909090909091,0.0,0.0,0.0,0.0
2,0107635181_00__00-channel-0-number-006_26690,С,1,12,11,11,17,0,0.0,1.4166666666666667,3.5833333333333335,0,0.0,0.9166666666666666,0.9166666666666666,247.93388429752065,40.333333333333336,247.93388429752065,40.333333333333336
3,0107636961_00__00-channel-0-number-009_34800,С,1,8,7,7,15,1,0.125,1.875,4.125,0,0.0,0.875,0.875,612.2448979591837,16.333333333333332,612.2448979591837,16.333333333333332
4,0107638181_00__00-channel-0-number-018_59400,С,1,6,5,5,11,1,0.2,2.2,4.8,1,0.2,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0
5,0107640251_01__00-channel-0-number-001_2670,С,1,4,2,2,16,4,1.0,4.0,9.5,3,0.75,0.5,0.5,20000.0,0.5,20000.0,0.5
6,0107640251_01__00-channel-0-number-004_16720,С,1,5,5,5,11,1,0.2,2.2,5.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
7,0107640251_01__00-channel-0-number-007_26530,С,1,10,8,8,22,2,0.2,2.2,4.2,2,0.2,0.8,0.8,937.5,10.666666666666666,937.5,10.666666666666666
8,0107642521_02__00-channel-0-number-008_22810,С,1,6,6,6,13,2,0.3333333333333333,2.1666666666666665,4.333333333333333,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
9,0107642521_02__00-channel-0-number-012_39570,С,1,10,9,8,19,2,0.2222222222222222,2.111111111111111,5.444444444444445,1,0.1111111111111111,0.9,0.8,0.0,0.0,468.75,21.333333333333332
10,0107645231_01__00-channel-0-number-002_5370,С,1,10,10,10,21,0,0.0,2.1,5.3,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
11,0107645231_01__00-channel-0-number-003_9860,С,1,7,7,6,10,0,0.0,1.4285714285714286,3.0,0,0.0,1.0,0.8571428571428571,0.0,0.0,833.3333333333334,12.0
12,0107649291_00__00-channel-0-number-016_55040,С,1,5,4,4,7,0,0.0,1.75,4.0,0,0.0,0.8,0.8,0.0,0.0,0.0,0.0
13,0107649291_01__00-channel-0-number-016_53860,С,1,7,5,5,10,0,0.0,2.0,4.4,0,0.0,0.7142857142857143,0.7142857142857143,0.0,0.0,0.0,0.0
14,0107649291_01__00-channel-0-number-017_56530,С,1,4,4,4,12,2,0.5,3.0,6.25,1,0.25,1.0,1.0,0.0,0.0,0.0,0.0
15,0107651611_00__00-channel-0-number-001_3600,С,1,7,7,7,17,1,0.14285714285714285,2.4285714285714284,6.142857142857143,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
16,0107651611_00__00-channel-0-number-002_7860,С,1,4,4,4,6,0,0.0,1.5,3.75,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
17,0107651611_00__00-channel-0-number-003_10060,С,1,8,8,7,15,0,0.0,1.875,4.375,0,0.0,1.0,0.875,0.0,0.0,612.2448979591837,16.333333333333332
18,0107651611_00__00-channel-0-number-006_20450,С,1,7,7,7,14,0,0.0,2.0,4.142857142857143,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
19,0107651611_01__00-channel-0-number-001_4830,С,1,8,8,7,17,2,0.25,2.125,3.875,1,0.125,1.0,0.875,0.0,0.0,612.2448979591837,16.333333333333332
20,0107651611_01__00-channel-0-number-008_30870,С,1,10,7,7,16,0,0.0,1.7777777777777777,4.111111111111111,0,0.0,0.7,0.7,1224.4897959183675,8.166666666666666,1224.4897959183675,8.166666666666666
21,0107656411_01__00-channel-0-number-016_43820,С,1,6,6,6,10,0,0.0,1.6666666666666667,4.333333333333333,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
22,0107656411_01__00-channel-0-number-017_46390,С,1,7,6,6,10,0,0.0,1.4285714285714286,2.857142857142857,0,0.0,0.8571428571428571,0.8571428571428571,833.3333333333334,12.0,833.3333333333334,12.0
23,0107658491_01__00-channel-0-number-003_10240,С,1,10,9,9,18,0,0.0,1.8,4.0,0,0.0,0.9,0.9,370.3703703703704,27.0,370.3703703703704,27.0
24,0107658491_01__00-channel-0-number-056_206060,С,1,5,5,5,12,1,0.2,2.4,6.8,1,0.2,1.0,1.0,0.0,0.0,0.0,0.0
25,0107658491_01__00-channel-0-number-057_208800,С,1,9,8,8,13,0,0.0,1.4444444444444444,3.0,0,0.0,0.8888888888888888,0.8888888888888888,468.75,21.333333333333332,468.75,21.333333333333332
26,0107662011_00__00-channel-0-number-002_3480,С,1,4,4,4,8,0,0.0,2.0,5.5,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
27,0107668411_01__00-channel-0-number-010_31520,С,1,10,9,9,20,1,0.1,2.0,4.8,1,0.1,0.9,0.9,370.3703703703704,27.0,370.3703703703704,27.0
28,0107668741_00__00-channel-0-number-001_3070,С,1,11,11,11,25,2,0.18181818181818182,2.272727272727273,5.636363636363637,2,0.18181818181818182,1.0,1.0,0.0,0.0,0.0,0.0
29,0107668741_00__00-channel-0-number-002_7620,С,1,8,8,8,10,0,0.0,1.25,3.375,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
30,0107671101_00__00-channel-0-number-021_62130,С,1,10,7,7,19,1,0.1,1.9,4.4,0,0.0,0.7,0.7,2244.8979591836737,4.454545454545454,2244.8979591836737,4.454545454545454
31,0107673351_00__00-channel-0-number-001_4100,С,1,6,6,6,14,1,0.16666666666666666,2.3333333333333335,6.666666666666667,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
32,0107673601_00__00-channel-0-number-006_16460,С,1,11,11,11,26,1,0.09090909090909091,2.3636363636363638,5.090909090909091,1,0.09090909090909091,1.0,1.0,0.0,0.0,0.0,0.0
33,0107687061_00__00-channel-0-number-009_45110,С,1,6,6,6,10,1,0.16666666666666666,1.6666666666666667,3.3333333333333335,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
34,0107687951_00__00-channel-0-number-001_3800,С,1,8,8,8,20,2,0.25,2.5,5.25,2,0.25,1.0,1.0,0.0,0.0,0.0,0.0
35,0107687951_00__00-channel-0-number-003_9130,С,1,5,5,5,10,1,0.2,2.0,3.8,1,0.2,1.0,1.0,0.0,0.0,0.0,0.0
36,0107634941_00__00-channel-0-number-003_14120,О,2,12,11,10,20,1,0.08333333333333333,1.6666666666666667,4.333333333333333,1,0.08333333333333333,0.9166666666666666,0.8333333333333334,247.93388429752065,40.333333333333336,800.0,12.5
37,0107634941_00__00-channel-0-number-004_18880,О,2,11,11,11,32,3,0.2727272727272727,2.909090909090909,6.818181818181818,2,0.18181818181818182,1.0,1.0,0.0,0.0,0.0,0.0
38,0107636291_00__00-channel-0-number-004_10700,О,2,7,7,7,16,2,0.2857142857142857,2.2857142857142856,4.714285714285714,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
39,0107636291_00__00-channel-0-number-007_22260,О,2,8,8,8,19,2,0.25,2.375,5.125,2,0.25,1.0,1.0,0.0,0.0,0.0,0.0
40,0107636291_00__00-channel-0-number-014_48210,О,2,6,6,6,10,0,0.0,1.6666666666666667,3.6666666666666665,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
41,0107636961_00__00-channel-0-number-009_34800,О,2,8,7,7,15,1,0.125,1.875,4.125,0,0.0,0.875,0.875,612.2448979591837,16.333333333333332,612.2448979591837,16.333333333333332
42,0107636961_00__00-channel-0-number-010_39100,О,2,5,5,5,8,0,0.0,1.6,3.4,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
43,0107636961_00__00-channel-0-number-012_44360,О,2,4,4,4,7,0,0.0,1.75,3.25,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
44,0107636961_00__00-channel-0-number-013_46870,О,2,8,8,8,11,0,0.0,1.375,3.25,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
45,0107636961_00__00-channel-0-number-015_53820,О,2,8,8,7,11,0,0.0,1.375,2.75,0,0.0,1.0,0.875,0.0,0.0,612.2448979591837,16.333333333333332
46,0107636961_00__00-channel-0-number-023_87260,О,2,7,6,6,12,0,0.0,1.7142857142857142,3.2857142857142856,0,0.0,0.8571428571428571,0.8571428571428571,833.3333333333334,12.0,833.3333333333334,12.0
47,0107637141_00__00-channel-0-number-009_34050,О,2,7,6,6,13,0,0.0,1.8571428571428572,3.7142857142857144,0,0.0,0.8571428571428571,0.8571428571428571,833.3333333333334,12.0,833.3333333333334,12.0
48,0107638181_00__00-channel-0-number-012_41410,О,2,5,5,5,7,0,0.0,1.4,2.6,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
49,0107638181_00__00-channel-0-number-013_44270,О,2,6,5,5,12,1,0.2,2.4,5.8,1,0.2,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0
50,0107638181_00__00-channel-0-number-018_59400,О,2,6,5,5,11,1,0.2,2.2,4.8,1,0.2,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0
51,0107638181_00__00-channel-0-number-026_90670,О,2,5,5,5,10,0,0.0,2.0,4.2,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
52,0107640251_01__00-channel-0-number-001_2670,О,2,4,2,2,16,4,1.0,4.0,9.5,3,0.75,0.5,0.5,20000.0,0.5,20000.0,0.5
53,0107640251_01__00-channel-0-number-004_16720,О,2,5,5,5,11,1,0.2,2.2,5.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
54,0107640251_01__00-channel-0-number-007_26530,О,2,10,8,8,22,2,0.2,2.2,4.2,2,0.2,0.8,0.8,937.5,10.666666666666666,937.5,10.666666666666666
55,0107640251_01__00-channel-0-number-010_35900,О,2,7,5,5,11,0,0.0,1.5714285714285714,3.4285714285714284,0,0.0,0.7142857142857143,0.7142857142857143,2400.0,4.166666666666667,2400.0,4.166666666666667
56,0107641281_01__00-channel-0-number-027_86250,О,2,9,9,9,20,1,0.1111111111111111,2.2222222222222223,4.555555555555555,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
57,0107641281_01__00-channel-0-number-028_89590,О,2,11,10,10,19,0,0.0,1.7272727272727273,4.181818181818182,0,0.0,0.9090909090909091,0.9090909090909091,300.0,33.333333333333336,300.0,33.333333333333336
58,0107641681_00__00-channel-0-number-005_18160,О,2,17,16,14,30,1,0.0625,1.875,4.5,1,0.0625,0.9411764705882353,0.8235294117647058,0.0,0.0,306.12244897959187,32.666666666666664
59,0107641681_00__00-channel-0-number-007_25620,О,2,8,6,6,15,3,0.42857142857142855,2.142857142857143,5.142857142857143,2,0.2857142857142857,0.75,0.75,833.3333333333334,12.0,833.3333333333334,12.0
60,0107642181_00__00-channel-0-number-000_2160,О,2,6,6,6,14,1,0.16666666666666666,2.3333333333333335,6.666666666666667,1,0.16666666666666666,1.0,1.0,0.0,0.0,0.0,0.0
61,0107642521_02__00-channel-0-number-068_208380,О,2,4,4,4,8,1,0.25,2.0,5.75,1,0.25,1.0,1.0,0.0,0.0,0.0,0.0
62,0107644171_00__00-channel-0-number-035_113560,О,2,5,5,5,14,2,0.4,2.8,6.2,1,0.2,1.0,1.0,0.0,0.0,0.0,0.0
63,0107649291_01__00-channel-0-number-017_56530,О,2,4,4,4,12,2,0.5,3.0,6.25,1,0.25,1.0,1.0,0.0,0.0,0.0,0.0
64,0107657781_00__00-channel-0-number-002_7480,О,2,11,11,10,26,2,0.18181818181818182,2.3636363636363638,5.2727272727272725,1,0.09090909090909091,1.0,0.9090909090909091,0.0,0.0,300.0,33.333333333333336
65,0107657781_00__00-channel-0-number-003_12120,О,2,11,11,10,18,0,0.0,1.6363636363636365,3.727272727272727,0,0.0,1.0,0.9090909090909091,0.0,0.0,300.0,33.333333333333336
66,0107657781_00__00-channel-0-number-004_15360,О,2,9,8,8,13,0,0.0,1.4444444444444444,4.444444444444445,0,0.0,0.8888888888888888,0.8888888888888888,468.75,21.333333333333332,468.75,21.333333333333332
67,0107657781_00__00-channel-0-number-007_29000,О,2,7,7,7,9,0,0.0,1.2857142857142858,3.2857142857142856,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
68,0107657781_00__00-channel-0-number-009_35090,О,2,7,7,7,13,1,0.14285714285714285,1.8571428571428572,4.714285714285714,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
69,0107664441_01__00-channel-0-number-042_136050,О,2,4,4,4,5,0,0.0,1.25,2.25,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
70,0107664821_00__00-channel-0-number-007_18910,О,2,8,8,8,17,1,0.125,2.125,5.0,1,0.125,1.0,1.0,0.0,0.0,0.0,0.0
71,0107673121_00__00-channel-0-number-055_210650,О,2,14,13,13,18,0,0.0,1.2857142857142858,3.2857142857142856,0,0.0,0.9285714285714286,0.9285714285714286,177.51479289940826,56.333333333333336,177.51479289940826,56.333333333333336
72,0107673481_00__00-channel-0-number-009_31130,О,2,13,13,13,29,3,0.23076923076923078,2.230769230769231,5.0,2,0.15384615384615385,1.0,1.0,0.0,0.0,0.0,0.0
73,0107674421_01__00-channel-0-number-003_6490,О,2,11,11,11,21,0,0.0,1.9090909090909092,4.454545454545454,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
74,0107674421_01__00-channel-0-number-065_204140,О,2,14,14,14,26,1,0.07142857142857142,1.8571428571428572,4.428571428571429,1,0.07142857142857142,1.0,1.0,0.0,0.0,0.0,0.0
75,0107674721_00__00-channel-0-number-005_14390,О,2,6,6,6,12,1,0.16666666666666666,2.0,4.5,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
76,0107674721_00__00-channel-0-number-016_54160,О,2,10,10,10,19,1,0.1,1.9,4.6,1,0.1,1.0,1.0,0.0,0.0,0.0,0.0
77,0107674721_00__00-channel-0-number-023_79560,О,2,5,5,5,11,0,0.0,2.2,6.8,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
78,0107676011_00__00-channel-0-number-005_18140,О,2,6,6,6,11,1,0.16666666666666666,1.8333333333333333,5.5,1,0.16666666666666666,1.0,1.0,0.0,0.0,0.0,0.0
79,0107676011_00__00-channel-0-number-029_92070,О,2,4,4,4,8,1,0.25,2.0,5.25,1,0.25,1.0,1.0,0.0,0.0,0.0,0.0
80,0107676011_01__00-channel-0-number-006_20750,О,2,6,5,5,11,1,0.2,2.2,5.6,0,0.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0
81,0107687491_00__00-channel-0-number-005_22100,О,2,7,7,7,21,3,0.42857142857142855,3.0,6.0,2,0.2857142857142857,1.0,1.0,0.0,0.0,0.0,0.0
82,0107687631_01__00-channel-0-number-005_37560,О,2,7,6,6,12,1,0.14285714285714285,1.7142857142857142,3.857142857142857,0,0.0,0.8571428571428571,0.8571428571428571,833.3333333333334,12.0,833.3333333333334,12.0
83,0107692701_01__00-channel-0-number-184_641950,О,2,4,4,4,7,0,0.0,1.75,4.25,1,0.25,1.0,1.0,0.0,0.0,0.0,0.0
84,0107693501_01__00-channel-0-number-019_74680,О,2,12,11,11,23,0,0.0,2.090909090909091,5.090909090909091,0,0.0,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,0.0
85,0107694891_00__00-channel-0-number-004_13790,О,2,5,5,5,11,0,0.0,2.2,5.2,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
