iter	MultiClass
0	1.340342229
1	1.303119765
2	1.27065745
3	1.242230837
4	1.216728515
5	1.193182798
6	1.174368164
7	1.156370475
8	1.139883725
9	1.126214299
10	1.114356093
11	1.102139713
12	1.091520049
13	1.081527713
14	1.073393457
15	1.063926683
16	1.057132315
17	1.049853338
18	1.042313382
19	1.034981988
20	1.028521338
21	1.022172959
22	1.017853615
23	1.013103372
24	1.008008597
25	1.003872721
26	1.000727657
27	0.9974808292
28	0.9936827788
29	0.9887166992
30	0.9836761031
31	0.980005116
32	0.9752797313
33	0.9725171761
34	0.9698081627
35	0.9667208934
36	0.9647928508
37	0.9608540773
38	0.9576140461
39	0.9546889074
40	0.9519135777
41	0.9490422603
42	0.9442576366
43	0.9411419961
44	0.9380771964
45	0.9337046576
46	0.9312638687
47	0.9284938645
48	0.9267760882
49	0.9245545526
50	0.9224305416
51	0.9201078188
52	0.9188719791
53	0.9155784173
54	0.9135642149
55	0.9108994489
56	0.9098904402
57	0.9077970164
58	0.9056275545
59	0.9034325449
60	0.9016526007
61	0.8993854246
62	0.8976460051
63	0.8962651485
64	0.8943376331
65	0.8900311683
66	0.8881289916
67	0.8864745006
68	0.8850394156
69	0.8812208558
70	0.8776478901
71	0.8753469614
72	0.8736972799
73	0.8719538397
74	0.8694111931
75	0.8671937731
76	0.8661448037
77	0.8635640471
78	0.8615493097
79	0.8598078864
80	0.8585375807
81	0.8566866322
82	0.8529638159
83	0.8510576116
84	0.8486743362
85	0.8470038433
86	0.8451967517
87	0.8437608685
88	0.8404168328
89	0.8383659277
90	0.8358470851
91	0.8342746527
92	0.8305250685
93	0.8289932766
94	0.8264484546
95	0.8251649589
96	0.8234198623
97	0.8222172869
98	0.8202180914
99	0.8180687891
100	0.8161212467
101	0.814820176
102	0.813052409
103	0.8105710526
104	0.8078556263
105	0.8062442547
106	0.8040569848
107	0.8013497811
108	0.8001656878
109	0.7980567
110	0.7965342007
111	0.7945026519
112	0.7924074528
113	0.7903639037
114	0.7881294192
115	0.7866150866
116	0.7851000752
117	0.7833352204
118	0.7808911897
119	0.778370607
120	0.7768992494
121	0.7755773671
122	0.774723862
123	0.7727890783
124	0.7694354709
125	0.7676369985
126	0.7660411133
127	0.7647221446
128	0.7625387152
129	0.7613933621
130	0.760062925
131	0.7577573149
132	0.7550425199
133	0.7535841566
134	0.752219232
135	0.7510465661
136	0.7494099869
137	0.7478265614
138	0.7458708255
139	0.7441094944
140	0.7421252655
141	0.7401844967
142	0.7387847617
143	0.7367310748
144	0.7341162775
145	0.7319323628
146	0.7300638202
147	0.7284097004
148	0.7263791012
149	0.7246509279
150	0.7224633503
151	0.7211686474
152	0.718706142
153	0.7166785178
154	0.7139893588
155	0.7127372915
156	0.710981616
157	0.709250951
158	0.7082423878
159	0.705872097
160	0.7047522884
161	0.7024741887
162	0.7005911529
163	0.6993145526
164	0.6977145201
165	0.6957799401
166	0.6934656189
167	0.6913016486
168	0.6889144794
169	0.6881197455
170	0.686217082
171	0.6845610651
172	0.6830122066
173	0.6817295997
174	0.6800460129
175	0.6788887669
176	0.6779646594
177	0.6765412591
178	0.6755474998
179	0.6746780779
180	0.6734383794
181	0.672165063
182	0.6702328693
183	0.6687310465
184	0.6675886414
185	0.6662293609
186	0.664894534
187	0.6635605084
188	0.662129876
189	0.6605629623
190	0.6591476847
191	0.656866063
192	0.6558405135
193	0.6544511952
194	0.6526654213
195	0.6513713174
196	0.6499649864
197	0.6492131682
198	0.6478776129
199	0.6467758986
200	0.6454301615
201	0.643570796
202	0.642393989
203	0.6408299246
204	0.6395277236
205	0.6381421947
206	0.6369841998
207	0.6355665935
208	0.6346096476
209	0.63341751
210	0.6320475677
211	0.6309076523
212	0.6299802462
213	0.6291748198
214	0.6277856715
215	0.6263734819
216	0.6246084939
217	0.623567469
218	0.6221554206
219	0.6203996794
220	0.6195814138
221	0.6182363507
222	0.6166523742
223	0.614974544
224	0.6141525266
225	0.6126925713
226	0.6116456545
227	0.6106895904
228	0.6090509262
229	0.6079761329
230	0.6063828317
231	0.6051227328
232	0.6041105084
233	0.6032023873
234	0.6018485049
235	0.6003608484
236	0.5993805941
237	0.5980686282
238	0.5966410652
239	0.5952323664
240	0.5942842776
241	0.5933010435
242	0.591948653
243	0.5911649001
244	0.5899768493
245	0.5890692241
246	0.5884265265
247	0.5869291428
248	0.5856256318
249	0.5843313532
250	0.5828948479
251	0.5817302407
252	0.5804930159
253	0.5790283396
254	0.5774646124
255	0.5759669095
256	0.5749246547
257	0.5742517686
258	0.5735417033
259	0.5718752139
260	0.5708907707
261	0.5693553173
262	0.568346144
263	0.5672943639
264	0.5660001607
265	0.5649396644
266	0.5637927447
267	0.5625242559
268	0.5614854588
269	0.5605891809
270	0.5596857082
271	0.5592520693
272	0.5582559032
273	0.557630967
274	0.556872933
275	0.5563285968
276	0.5555725558
277	0.5536374208
278	0.5524265952
279	0.5514894801
280	0.5501986891
281	0.5493838344
282	0.5483970069
283	0.5471947393
284	0.5464176795
285	0.5454532291
286	0.5445327998
287	0.5434308992
288	0.5424160238
289	0.5406305966
290	0.5395597754
291	0.5384812636
292	0.5377342607
293	0.5365970574
294	0.5361424073
